Baseline,LA,MS,MN,NC,TN,SUBURBAN,RURAL,Population,Mean Distance,Std Distance
1,0,0,0,0,0,0,0,67418,0.473613417,0.225363942
1,0,0,0,0,0,0,1,5422,0.317408978,0.252558531
1,0,0,0,0,0,1,0,14686,0.302986944,0.240804365
1,0,0,0,0,1,0,0,65785,0.522227815,0.242387062
1,0,0,0,0,1,0,1,5949,0.243098559,0.227692252
1,0,0,0,0,1,1,0,19571,0.269275925,0.203567863
1,0,0,0,1,0,0,0,70778,0.482799679,0.230172348
1,0,0,0,1,0,0,1,3757,0.413657417,0.312840257
1,0,0,0,1,0,1,0,23509,0.365365384,0.265753266
1,0,0,1,0,0,0,0,21441,0.563611895,0.226188088
1,0,0,1,0,0,0,1,954,0.155728583,0.200368519
1,0,0,1,0,0,1,0,2645,0.282506696,0.310691513
1,0,1,0,0,0,0,0,11383,0.471916117,0.211136967
1,0,1,0,0,0,0,1,9936,0.354731785,0.229848542
1,0,1,0,0,0,1,0,10976,0.441877225,0.25104974
1,1,0,0,0,0,0,0,70477,0.550223473,0.250602734
1,1,0,0,0,0,0,1,2340,0.436771873,0.294049021
1,1,0,0,0,0,1,0,19373,0.396210119,0.258564324
